location,site,year1stTag,tag,plot,dah.yr0,dah.yr1,dah.yr1.max,height.yr0,height.yr1,stems.yr0,stems.yr1,yr0,dens.cont.yr0,densEffect.yr0,dah.superclass.yr0,mortality.yr1,name,nhlc
unh,eff,2010,249,92,0.25,NA,NA,34,NA,1,NA,2010,23,22,A,1,eff92,NA
unh,eff,2010,250,93,0.8,0.94,NA,120,150,1,2,2010,24,12,B,NA,eff93,NA
unh,eff,2010,251,93,1.33,1.51,NA,237,260,4,5,2010,24,-1,B,NA,eff93,NA
unh,eff,2010,252,93,0.27,0.33,NA,37,50,3,4,2010,24,23,A,NA,eff93,NA
unh,eff,2010,253,95,1.11,1.21,NA,172,199,2,2,2010,26,1,B,NA,eff95,NA
unh,eff,2010,254,95,0.7,0.94,NA,139,181,1,1,2010,26,11,B,NA,eff95,NA
unh,eff,2010,255,95,0.26,0.34,NA,27,55,1,1,2010,26,25,A,NA,eff95,NA
unh,eff,2010,256,95,0.42,0.4,NA,33,48,1,1,2010,26,25,A,NA,eff95,NA
unh,eff,2010,343,99,0.45,0.45,NA,56,67,1,1,2010,15,14,A,NA,eff99,NA
unh,eff,2010,344,99,0.3,0.35,NA,49,60,1,2,2010,15,14,A,NA,eff99,NA
unh,eff,2010,345,99,2.1,2.35,NA,361,401,2,3,2010,15,0,C,NA,eff99,NA
unh,wff,2010,352,2,1.28,1.32,NA,186,202,1,1,2010,6,5,B,NA,wff2,1
unh,wff,2010,353,2,2.14,2.31,NA,381,392,1,1,2010,6,3,C,NA,wff2,1
unh,wff,2010,354,2,2.86,2.85,NA,401,401,10,9,2010,6,3,C,NA,wff2,1
unh,wff,2010,355,2,1.31,1.43,NA,217,240,1,1,2010,6,5,B,NA,wff2,1
unh,wff,2010,356,2,3.62,3.75,NA,401,451,9,7,2010,6,0,D,NA,wff2,1
unh,wff,2010,357,2,3.24,3.43,NA,356,400,2,3,2010,6,3,C,NA,wff2,1
unh,wff,2010,358,2010-2,3.91,4.1,NA,401,401,2,2,2010,8,3,D,NA,wff2010-2,NA
unh,wff,2010,359,2010-2,3.84,4.11,NA,401,401,1,1,2010,8,3,D,NA,wff2010-2,NA
unh,wff,2010,360,2010-2,3.63,3.85,NA,401,401,3,3,2010,8,3,D,NA,wff2010-2,NA
unh,wff,2010,361,2010-2,5.01,5.5,NA,401,401,2,2,2010,8,3,D,NA,wff2010-2,NA
unh,wff,2010,362,2010-2,1.08,1.27,NA,190,212,1,1,2010,8,7,B,NA,wff2010-2,NA
unh,wff,2010,363,2010-2,1.38,1.4,NA,260,267,1,1,2010,8,7,B,NA,wff2010-2,NA
unh,wff,2010,364,2010-2,0.51,0.49,NA,84,99,1,1,2010,8,7,B,NA,wff2010-2,NA
unh,wff,2010,365,2010-2,0.54,0.61,NA,104,115,1,1,2010,8,7,B,NA,wff2010-2,NA
unh,wff,2010,366,2010-3,0.49,0.42,NA,72,77,1,1,2010,7,6,A,NA,wff2010-3,NA
unh,wff,2010,367,2010-3,2.74,3.21,NA,401,401,1,1,2010,7,3,C,NA,wff2010-3,NA
unh,wff,2010,368,2010-3,1.71,1.7,NA,260,283,2,3,2010,7,5,B,NA,wff2010-3,NA
unh,wff,2010,369,2010-3,2.85,3.54,NA,368,385,3,5,2010,7,3,C,NA,wff2010-3,NA
unh,wff,2010,370,2010-3,2.15,2.15,NA,360,401,1,1,2010,7,3,C,NA,wff2010-3,NA
unh,wff,2010,371,2010-3,0.86,0.89,NA,176,187,1,1,2010,7,5,B,NA,wff2010-3,NA
unh,wff,2010,372,2010-3,3.48,3.8,NA,401,401,7,7,2010,7,3,C,NA,wff2010-3,NA
unh,wff,2010,373,2010-4,1.43,1.6,NA,340,360,1,1,2010,8,7,B,NA,wff2010-4,NA
unh,wff,2010,374,2010-4,2.71,2.94,NA,401,401,3,3,2010,8,5,C,NA,wff2010-4,NA
unh,wff,2010,375,2010-4,2.6,2.87,NA,401,401,1,1,2010,8,5,C,NA,wff2010-4,NA
unh,wff,2010,376,2010-4,2.4,2.62,NA,395,401,2,2,2010,8,5,C,NA,wff2010-4,NA
unh,wff,2010,377,2010-4,3.14,3.25,NA,401,401,5,5,2010,8,5,C,NA,wff2010-4,NA
unh,wff,2010,378,2010-4,2.62,2.77,NA,390,401,4,4,2010,8,5,C,NA,wff2010-4,NA
unh,wff,2010,379,2010-4,2.23,2.31,NA,343,370,2,2,2010,8,5,C,NA,wff2010-4,NA
unh,wff,2010,380,2010-4,0.73,0.75,NA,192,215,1,1,2010,8,7,B,NA,wff2010-4,NA
unh,wff,2010,381,2010-5,3.23,3.55,NA,401,401,3,4,2010,3,1,C,NA,wff2010-5,NA
unh,wff,2010,382,2010-5,2.37,2.64,NA,400,401,1,1,2010,3,1,C,NA,wff2010-5,NA
unh,wff,2010,383,2010-5,1.37,1.6,NA,220,280,1,1,2010,3,2,B,NA,wff2010-5,NA
unh,eff,2010,257,107,1.1,1.23,NA,209,242,2,2,2011,15,8,B,NA,eff107,NA
unh,eff,2010,258,107,0.58,0.61,NA,96,120,2,2,2011,15,14,B,NA,eff107,NA
unh,eff,2010,259,107,0.51,0.59,NA,91,110,1,1,2011,15,14,B,NA,eff107,NA
unh,eff,2010,260,109,1.12,1.13,NA,184,213,1,1,2011,13,10,B,NA,eff109,NA
unh,eff,2010,261,109,0.32,0.36,NA,70,75,2,2,2011,13,12,A,NA,eff109,NA
unh,eff,2010,262,109,2.34,2.55,NA,370,382,1,1,2011,13,0,C,NA,eff109,NA
unh,eff,2010,263,114,1.67,1.66,NA,290,298,2,1,2011,11,1,B,NA,eff114,NA
unh,eff,2010,264,114,0.67,0.61,NA,137,147,1,1,2011,11,4,B,NA,eff114,NA
unh,eff,2010,265,114,0.22,0.2,NA,39,34,1,2,2011,11,10,A,NA,eff114,NA
unh,eff,2010,266,114,0.4,0.44,NA,73,83,1,1,2011,11,10,A,NA,eff114,NA
unh,eff,2010,201,12,0.19,0.18,NA,27,31,1,2,2011,4,3,A,NA,eff12,NA
unh,eff,2010,267,120,1.09,1.1,NA,170,169,1,1,2011,2,1,B,NA,eff120,NA
unh,eff,2010,346,122,0.54,0.65,NA,92,113,2,2,2011,12,11,B,NA,eff122,NA
unh,eff,2010,347,122,0.35,0.35,NA,45,48,4,4,2011,12,11,A,NA,eff122,NA
unh,eff,2010,268,123,2.61,2.65,NA,401,401,2,2,2011,7,0,C,NA,eff123,NA
unh,eff,2010,269,123,0.31,0.35,NA,57,75,2,2,2011,7,6,A,NA,eff123,NA
unh,eff,2010,270,123,0.62,0.74,NA,121,138,1,1,2011,7,3,B,NA,eff123,NA
unh,eff,2010,271,123,0.34,0.45,NA,51,66,1,1,2011,7,6,A,NA,eff123,NA
unh,eff,2010,272,125,1.08,1.08,NA,187,209,2,1,2011,14,1,B,NA,eff125,NA
unh,eff,2010,273,125,0.69,0.75,NA,116,125,1,1,2011,14,7,B,NA,eff125,NA
unh,eff,2010,274,125,0.49,0.45,NA,81,114,1,1,2011,14,13,A,NA,eff125,NA
unh,eff,2010,275,125,0.32,0.3,NA,57,64,1,1,2011,14,13,A,NA,eff125,NA
unh,eff,2010,276,129,0.74,0.76,NA,159,171,1,1,2011,8,4,B,NA,eff129,NA
unh,eff,2010,277,129,0.35,0.4,NA,47,71,1,1,2011,8,7,A,NA,eff129,NA
unh,eff,2010,202,13,0.39,NA,NA,27,NA,1,NA,2011,1,0,A,1,eff13,NA
unh,eff,2010,278,130,3.28,3.41,3.53,401,501,2,2,2011,13,0,C,NA,eff130,NA
unh,eff,2010,279,130,0.85,0.98,NA,212,225,1,1,2011,13,8,B,NA,eff130,NA
